Losing Team,Full Time Home Goals,Half  Time Home Goals,Home Shots,Home Shots on Target,Home Hit Woodwork,Home Corners,Home Fouls Committed,Home Offsides,Home Yellow Cards,Home Red Cards
Liverpool,1,0,11,5,0,8,19,0,3,1
Arsenal,0,0,17,8,0,9,13,0,1,0
Leicester,1,1,15,9,0,5,13,4,2,0
Sunderland,2,2,13,4,0,3,12,5,1,0
Everton,2,1,10,7,0,2,19,2,4,1
Middlesbrough,1,1,4,1,0,5,8,5,0,0
Tottenham,0,0,5,1,0,2,14,3,2,1
Chelsea,0,0,9,1,0,10,12,0,3,0
Leicester,0,0,15,4,1,12,13,3,3,0
West Ham,0,0,15,10,0,6,17,0,5,0
Coventry,0,0,11,4,0,7,15,3,3,0
Derby,1,1,6,2,0,4,14,1,3,0
Middlesbrough,0,0,18,3,1,4,13,7,2,0
Southampton,0,0,11,5,0,11,15,7,2,0
Bradford,0,0,15,4,0,7,11,3,0,0
Man United,0,0,11,6,0,13,13,2,1,0
Charlton,0,0,12,10,1,10,7,1,1,0
Man City,1,1,3,1,0,8,22,2,4,0
Charlton,1,0,8,4,0,4,15,2,0,0
Leicester,0,0,6,1,0,3,21,4,4,0
Middlesbrough,0,0,6,2,0,2,13,4,2,1
Arsenal,1,1,14,5,0,10,28,2,4,0
Ipswich,0,0,17,11,0,6,22,0,2,0
Southampton,0,0,8,2,0,6,13,6,0,0
Liverpool,1,0,12,7,0,7,19,1,3,1
Middlesbrough,1,1,8,4,0,3,15,4,1,1
Bolton,0,0,4,0,2,3,11,4,1,0
Derby,2,1,15,9,0,8,16,1,5,0
Everton,1,1,11,5,0,4,16,0,0,0
Fulham,1,0,6,3,0,4,18,3,3,0
Charlton,0,0,9,4,0,8,13,2,2,1
Tottenham,2,0,11,4,1,6,10,1,1,0
Leicester,1,1,10,5,0,4,19,4,0,0
Sunderland,1,0,14,8,0,11,9,4,1,0
Southampton,1,1,12,4,0,2,15,0,1,1
Bolton,0,0,15,8,0,8,10,5,1,0
Derby,0,0,7,5,0,2,18,4,3,0
Middlesbrough,1,0,5,3,1,6,16,4,0,0
